Player,Position,Still_in_league,Age_first_yr,Draft_pick,Hght_noshoes,Hght_wtshoes,Wingspan,Standing_reach,Vert_max,Vert_maxreach,Vert_nostep,Vert_nostep_reach,Weight,Body_fat,Hand_length,Hand_width,agility,sprint
Nikola Vucevic,C,1,19,16,82.25,83.75,88.5,112.5,25,137.5,23.5,136,260,6.1,9.25,10.25,12.02,3.27
Luke Babbitt,SF,1,21,16,79.5,80.75,83.25,104.5,37.5,142,29.5,134,218,5.6,8.5,10,10.98,3.4
Larry Sanders,C,1,22,15,81.25,82.5,89.75,112,28,140,25.5,137.5,222,4.6,9.75,11,12.49,3.27
Kawhi Leonard,SF,1,20,15,78,79,87,106,32,138,25.5,131.5,227,5.4,9.75,11.25,11.45,3.15
T.J. Warren,SF,1,21,14,79,80.25,82.25,104,35.5,139.5,27,131,220,8,8.75,9,11.1,3.26
Shabazz Muhammad,SG,1,23,14,76.75,78.25,83,104.5,37,141.5,29.5,134,222,9,9,10,10.99,3.32
Patrick Patterson,PF,1,21,14,80,81.25,85.25,107,33.5,140.5,28.5,135.5,240,5.3,9.25,10.25,11.14,3.25
Kelly Olynyk,C,1,22,13,82.75,84,81.75,108,29.5,137.5,24.5,132.5,234,6.7,8.5,10,11.42,3.59
Ed Davis,PF,1,21,13,81,81.75,84,108,36,144,31,139,227,10,9.25,10,11.7,3.21
Kendall Marshall,PG,0,21,13,75.25,76.25,77.5,96,37,133,31,127,198,7.8,8.5,9,12.03,3.23
Steven Adams,C,1,23,12,82.75,84,88.5,109.5,33,142.5,28.5,138,255,6.7,9.5,11,11.85,3.4
Jeremy Lamb,SF,1,20,12,76,77.25,83,102,38,140,31.5,133.5,179,4.5,8.75,9.25,10.98,3.25
Alec Burks,SG,1,20,12,77,78,82,103.5,36,139.5,29,132.5,193,5.1,9,8.25,10.96,3.17
Michael Carter-Williams,PG,1,24,11,76.75,77.75,79.25,101,41,142,31.5,132.5,184,4.4,7.5,8.5,10.68,3.22
Meyers Leonard,C,1,22,11,83.75,85.25,87,108,32.5,140.5,30,138,250,5.7,9.25,11,11.34,3.41
Klay Thompson,SG,1,21,11,77.75,79.25,81,103.5,31.5,135,26.5,130,206,8,8.75,9.25,10.99,3.24
Doug McDermott,SF,1,23,11,78.25,79.75,81.25,103,36.5,139.5,28.5,131.5,218,7.1,8.75,9.75,11.1,3.29
Cole Aldrich,C,1,22,11,81,83.25,88.75,111.5,28,139.5,23,134.5,236,8.5,9,9.25,11.48,3.35
Elfrid Payton,PG,1,20,10,74.5,75.75,80,98.5,35.5,134,31.5,130,185,5.7,8.75,9,11.06,3.23
C.J. McCollum,SG,1,22,10,74.25,75.25,78.25,96.5,38.5,135,32,128.5,197,8.6,8,9.5,11.02,3.32
Austin Rivers,SG,1,20,10,75.5,77,79.25,96.5,37.5,134,32.5,129,203,6.2,8.5,10,11.54,3.32
Jimmer Fredette,PG,0,22,10,72.75,74.5,76.5,96.5,33,129.5,28,124.5,196,7.7,8,8.5,10.42,3.21
Trey Burke,PG,1,20,9,71.75,73.25,77.5,97.5,36.5,134,29.5,127,187,6.9,8.25,8.75,11.2,3.16
Noah Vonleh,PF,1,23,9,80,81.5,88.25,108,37,145,31,139,247,7.3,9.75,11.75,11.45,3.28
Kemba Walker,PG,1,21,9,71.5,73,75.5,91.5,39.5,131,32,123.5,184,5.9,8,9,10.87,3.16
Gordon Hayward,SF,1,20,9,78.75,80,79.75,103,34.5,137.5,30.5,133.5,211,6.9,8.5,9.25,11.73,3.22
