Player,College,Draft_yr,fnl_coll_rpi,Success,Age_first_yr,Draft_pick,Hght_noshoes,Hght_wtshoes,Wingspan,Standing_reach,Vert_max,Vert_maxreach,Vert_nostep,Vert_nostep_reach,Weight,Body_fat,Hand_length,Hand_width,clg_gms_plyed,pts_ppg,trb,ast,fg2_pct,fg3_pct,ft_pct,Guards,Forwards,Centers,Drafted,nba_gms_plyed
JaJuan Johnson,Purdue,2011,14,0,22,27,81,82,86,107.5,38,145.5,33.5,141,220,7.5,9,10,140,13.7,6.1,0.7,50.1,25,74.3,0,1,0,1,36
Norris Cole,Cleveland State,2011,43,1,23,28,72.25,73.75,74.25,95.5,38.5,134,29.5,125,174,4.7,8.5,9.5,140,14.1,3.2,3.3,43.5,32.1,82.6,1,0,0,1,360
Cory Joseph,Texas,2011,11,1,20,29,74,75.25,77.5,99,35,134,27.5,126.5,186,9.7,8.5,10.5,36,10.4,3.6,3,42.2,41.3,69.9,1,0,0,1,446
Jimmy Butler,Marquette,2011,50,1,22,30,78,79.75,79.5,101.5,39,140.5,32,133.5,222,5.4,9,9,106,12,5.5,1.7,50.8,38.3,77.3,1,0,0,1,458
Justin Harper,Richmond,2011,33,0,22,32,80,80.75,83.75,106,33,139,28.5,134.5,228,4,9,9.25,137,10.6,4.8,0.7,48.3,38.2,71.1,0,1,0,1,22
Kyle Singler,Duke,2011,4,1,24,33,79.5,80.5,82.1,106,30,136,23,129,228,10,8.25,8.75,148,16.2,6.9,2,43.3,36.3,77.3,0,1,0,1,356
Shelvin Mack,Butler,2011,19,1,23,34,73,74.5,79.5,96.5,39,135.5,32,128.5,209,7.1,8.25,9.25,108,14.1,4.2,3.3,41.9,35.7,75.5,1,0,0,1,399
Tyler Honeycutt,UCLA,2011,38,0,23,35,78.75,80.25,81,105,37,142,30,135,187,5.3,8.5,9.5,59,10.3,6.9,2.8,43.1,35.9,68.4,0,1,0,1,24
Jordan Williams,Maryland,2011,97,0,21,36,79.75,81,84.25,106.5,30.5,137,25,131.5,247,12.1,9.25,10,66,13.2,10.2,0.4,52.8,0,55.9,0,0,1,1,43
Trey Thompkins,Georgia,2011,52,0,22,37,80.5,81.75,85,107.5,30.5,138,27.5,135,239,15.5,9.25,9.75,89,15.7,7.8,1.4,46.9,35.7,72.9,0,0,1,1,24
Chandler Parsons,Florida,2011,9,1,23,38,80.75,81.75,81.5,104.5,31.5,136,25.5,130,221,7,8.25,10,142,10.2,6,2.4,47.7,33.7,61.1,0,1,0,1,410
Jon Leuer,Wisconsin,2011,16,1,22,40,82,83.5,84,105.5,36.5,142,29.5,135,223,5.4,8.75,9.75,123,11.2,4.5,1.1,48.2,36.8,72.3,0,1,0,1,336
Darius Morris,Michigan,2011,51,0,21,41,75.25,77.25,79.5,102,32,134,24.5,126.5,190,5.3,8.75,10,67,9.9,2.9,4.8,46.9,22.3,69.5,1,0,0,1,132
Malcolm Lee,UCLA,2011,38,0,21,43,76,77.5,81.75,101.5,35.5,137,30,131.5,198,5.9,8.5,9.5,94,9.7,3,2,44.1,27.8,71.7,1,0,0,1,36
Charles Jenkins,Hofstra,2011,88,0,22,44,73.5,75.25,79.5,96.5,34,130.5,29.5,126,216,4.3,8.5,9,128,19.6,4.3,3.8,45.6,38.2,81.1,1,0,0,1,110
Andrew Goudelock,College of Charleston,2011,59,0,23,46,73.25,74.75,76.25,96.5,37,133.5,32.5,129,198,9.9,8.25,9.25,140,18.4,3.3,3,45.7,41.3,83.8,1,0,0,1,49
Travis Leslie,Georgia,2011,52,0,23,47,75,76.25,82.5,103,40.5,143.5,33,136,205,8.1,8.75,9.25,90,12.2,6.1,2.1,48.2,33.3,74.3,1,0,0,1,10
Keith Benson,Oakland,2011,57,0,23,48,82,83,87.75,109.5,36,145.5,31.5,141,217,6.1,9.5,11,135,14.1,8.2,0.7,55.8,37.9,67.9,0,0,1,1,3
Josh Selby,Kansas,2011,1,0,20,49,73.75,75,77.25,98,42,140,29.5,127.5,195,7.9,8.5,9,26,7.9,2.2,2.2,37.3,36.2,75.7,1,0,0,1,38
E'Twaun Moore,Purdue,2011,14,1,22,55,74.5,76,81.5,99.5,34.5,134,32,131.5,191,7.6,9,10,140,15.3,4.4,2.9,44,38,72.9,1,0,0,1,462
Isaiah Thomas,Washington,2011,30,1,22,60,68.75,70.25,73.75,91.5,40,131.5,31.5,123,186,6.7,8.25,9,105,16.4,3.5,4,42.6,32.5,71.3,1,0,0,1,473
Greg Smith,Fresno State,2011,206,0,21,61,80,81.25,86.5,106.5,36,142.5,29.5,136,253,7.4,9.75,12,64,11.6,6.9,1.5,57.5,0,56.4,0,1,0,0,149
Malcolm Thomas,San Diego State,2011,3,0,23,61,79.5,80.75,84.5,107.5,36.5,144,32,139.5,223,5.9,9.5,10.5,39,10.8,4.1,0.7,38.7,38,77.2,0,1,0,0,40
Scotty Hopson,Tennessee,2011,41,0,24,61,77.75,78.5,82.5,103.5,36,139.5,32.5,136,205,4.8,8.5,10,103,12.7,3.1,1.3,44.4,35.4,67.1,1,0,0,0,3
Michael Kidd-Gilchrist,Kentucky,2012,1,1,22,2,77.75,79.5,84,104.5,35.5,140,32,136.5,233,7,9,10.25,40,11.9,7.4,1.9,49.1,25.5,74.5,0,1,0,1,357
Bradley Beal,Florida,2012,19,1,19,3,75.25,76.75,80,100,39,139,33,133,202,6,8.5,9,37,14.8,6.7,2.2,44.5,33.9,76.9,1,0,0,1,406
Thomas Robinson,Kansas,2012,5,1,19,5,79.75,80.75,87.25,106,35.5,141.5,28.5,134.5,244,5,9.75,10.5,105,9.8,7.3,1,52.5,50,60.6,0,1,0,1,313
Damian Lillard,Weber State,2012,73,1,22,6,73.75,74.75,79.75,95.5,39.5,135,34.5,130,189,5.9,8.75,9.75,104,18.6,4.3,3.5,44.6,39,86.7,1,0,0,1,469
Harrison Barnes,North Carolina,2012,4,1,20,7,79,80,83.25,101.5,39.5,141,38,139.5,228,9.6,9,8.5,75,16.3,5.5,1.3,43,34.9,73.4,0,1,0,1,463
Terrence Ross,Washington,2012,54,1,21,8,78,79,79.25,100.5,37.5,138,31,131.5,197,3.2,8.75,10.25,69,12.3,4.7,1.2,45.3,36.4,76.4,1,0,0,1,411
Andre Drummond,Connecticut,2012,33,1,19,9,81.75,83.75,90.25,109.5,33.5,143,31.5,141,279,7.5,9.5,9.5,34,10,7.6,0.4,53.8,0,29.5,0,0,1,1,463
Austin Rivers,Duke,2012,7,1,20,10,75.5,77,79.25,96.5,37.5,134,32.5,129,203,6.2,8.5,10,34,15.5,3.4,2.1,43.3,36.5,65.8,1,0,0,1,408
Meyers Leonard,Illinois,2012,94,1,22,11,83.75,85.25,87,108,32.5,140.5,30,138,250,5.7,9.25,11,65,7.7,4.7,0.7,56.7,8.3,72.9,0,0,1,1,332
Jeremy Lamb,Connecticut,2012,33,1,20,12,76,77.25,83,102,38,140,31.5,133.5,179,4.5,8.75,9.25,75,14.1,4.7,1.7,48.2,34.8,80.6,0,1,0,1,356
Kendall Marshall,North Carolina,2012,4,0,21,13,75.25,76.25,77.5,96,37,133,31,127,198,7.8,8.5,9,73,7.2,2.3,8,44.6,36.6,69.3,1,0,0,1,160
Tyler Zeller,North Carolina,2012,4,1,19,17,83.25,84.5,84,104.5,34,138.5,30,134.5,247,6.4,9,9.75,117,12.8,6.7,0.6,54.3,0,77.5,0,0,1,1,406
Terrence Jones,Kentucky,2012,1,1,21,18,80.25,81.5,86.25,107,34.5,141.5,29.5,136.5,252,7.7,9,10,76,14,8,1.5,46.7,32.8,63.8,0,1,0,1,232
Andrew Nicholson,St. Bonaventure,2012,76,1,23,19,80.5,81.5,88,107,30.5,137.5,28.5,135.5,234,7.6,10,10.75,123,17.1,7.2,0.7,57.5,37.7,72,0,1,0,1,285
Jared Sullinger,Ohio State,2012,6,1,20,21,79.75,81,85.25,105.5,31,136.5,29.5,135,268,10.7,9.25,9.75,74,17.3,9.7,1.2,53,36.5,73.3,0,1,0,1,269
Fab Melo,Syracuse,2012,2,0,22,22,82.75,84,86.5,110,31,141,29.5,139.5,255,9.2,9,10,63,4.9,3.8,0.5,57.6,0,55.3,0,0,1,1,6
John Jenkins,Vanderbilt,2012,17,0,21,23,75.25,76.25,80.5,98,36.5,134.5,30.5,128.5,212,7.1,9,9,98,16.9,2.7,1.1,46.8,43.8,85.6,1,0,0,1,145
Tony Wroten,Washington,2012,54,0,23,25,76.75,78,81,101,35.5,136.5,30,131,203,5.2,8,9,35,16,5,3.7,44.3,16.1,58.3,1,0,0,1,145
Miles Plumlee,Duke,2012,7,1,22,26,82.5,83.75,84.75,105.5,40.5,146,34,139.5,252,11.4,9.25,9,135,4.8,4.8,0.3,55.7,100,62.5,0,0,1,1,328
Arnett Moultrie,Mississippi State,2012,83,0,22,27,81.5,82.75,86.25,106.5,37.5,144,33.5,140,233,7.7,9.25,9.25,100,11.4,8.4,1,51.1,28.9,67.6,0,1,0,1,59
Perry Jones,Baylor,2012,8,0,23,28,82.25,83.25,85.75,107,38.5,145.5,33,140,234,4.6,9.25,9.5,63,13.7,7.4,1.2,52.2,27.9,67.8,0,1,0,1,143
Marquis Teague,Kentucky,2012,1,0,23,29,73,74,79.25,96.5,40.5,137,32.5,129,180,6.3,8.25,7.75,40,10,2.5,4.8,41.2,32.5,71.4,1,0,0,1,91
Festus Ezeli,Vanderbilt,2012,17,0,23,30,81.75,83.5,89.75,108,33.5,141.5,34,142,264,5.5,9,10.75,121,7.7,4.5,0.1,56.2,0,58.4,0,0,1,1,170
Bernard James,Florida State,2012,13,0,27,33,80.75,82,87,108.5,32.5,141,30,138.5,230,5,9,9.25,69,9.7,7,0.3,62.7,0,52.8,0,0,1,1,92
Jae Crowder,Marquette,2012,9,1,22,34,76.75,78.5,81.25,99.5,34.5,134,31,130.5,241,9,9.5,10.5,72,14.6,7.6,1.8,49.2,35,68.3,0,1,0,1,463
Draymond Green,Michigan State,2012,3,1,22,35,77.75,79.5,85.25,105,33,138,28,133,236,11.3,9,9.5,145,10.5,7.6,2.9,46.7,36.1,68.7,0,1,0,1,467
Orlando Johnson,UC Santa Barbara,2012,126,0,20,36,75.75,77.25,83.25,99,39.5,138.5,32,131,224,7,9,9.5,124,17.8,5.6,2.6,45.7,39.1,72,1,0,0,1,103
Quincy Acy,Baylor,2012,8,1,20,37,78.5,79.75,86.75,106.5,37,143.5,32,138.5,224,7.1,9.5,11,139,9.8,6,0.6,60.2,42.9,70.8,0,1,0,1,327
Quincy Miller,Baylor,2012,8,0,23,38,80.75,82,85.25,105,36,141,30.5,135.5,219,7.8,9.25,10.25,37,10.6,4.9,1.4,44.7,34.8,81.6,0,1,0,1,69
Khris Middleton,Texas A&M,2012,166,1,21,39,78.75,80.25,82.75,103,31,134,28,131,216,7.8,9,9,87,11.3,4.6,2,43.1,32.1,76.8,1,0,0,1,378
Will Barton,Memphis,2012,20,1,19,40,77,78,81.75,102.5,34,136.5,30,132.5,174,4.1,9,9.5,70,15.2,6.5,2.9,47.1,29.9,73.3,1,0,0,1,395
Tyshawn Taylor,Kansas,2012,5,0,21,41,74.75,76,78.25,97.5,36.5,134,32,129.5,177,4.2,8.75,8.75,146,10.8,2.2,3.9,47.7,37,70.8,1,0,0,1,61
Doron Lamb,Kentucky,2012,1,0,21,42,75.25,76.75,78.75,98.5,33.5,132,29,127.5,199,6.7,8.5,8.75,78,13.1,2.3,1.6,48.5,47.5,81.1,1,0,0,1,100
